"id_audit";"customer";"serial"
255209;"2";"16335"
255210;"2";"16486"
255752;"2";"19305"
255753;"2";"19110"
255830;"2";"16459"
255856;"2";"16440"
255946;"2";"20047"
256097;"2";"19159"
256098;"2";"19305"
256358;"2";"16491"
256604;"2";"17670"
256605;"2";"15234"
256609;"2";"17658"
256610;"2";"17643"
256687;"2";"15841"
256733;"2";"15830"
256734;"2";"15353"
256746;"2";"15645"
256767;"2";"16109"
256770;"2";"16109"
256787;"2";"16249"
256829;"2";"15717"
256839;"2";"17632"
256853;"2";"18491"
256855;"2";"15818"
256860;"2";"16191"
256861;"2";"18188"
256863;"2";"18192"
256873;"2";"16459"
256876;"2";"17519"
256878;"2";"16321"
256891;"2";"16256"
256896;"2";"16488"
257043;"2";"16335"
257044;"2";"16486"
257045;"2";"16335"
257046;"2";"16486"
257051;"2";"17555"
257063;"2";"17687"
257123;"2";"17103"
272797;"2";"15203"
272892;"2";"16764"
272902;"2";"17251"
272913;"2";"16459"
272919;"2";"15262"
273014;"2";"15838"
273511;"2";"20917"
273513;"2";"17202"
274106;"2";"16255"
274779;"2";"15254"
275046;"2";"15242"
275407;"2";"18826"
275487;"2";"15262"
275586;"2";"17875"
275663;"2";"20751"
275712;"2";"16314"
275815;"2";"17283"
275835;"2";"17446"
275928;"2";"16984"
276034;"2";"20265"
276059;"2";"15998"
553366;"2";"19279"
553884;"2";"17687"
553987;"2";"16335"
554106;"2";"18356"
554162;"2";"16984"
554456;"2";"17103"
554688;"2";"15875"
554838;"2";"15102"
554842;"2";"16052"
554874;"2";"15830"
554990;"2";"15209"
555089;"2";"16447"
555099;"2";"15649"
555141;"1";"17901"
555146;"2";"15382"
555147;"2";"15542"
555354;"2";"15717"
555473;"2";"15214"
555474;"2";"18168"
555475;"2";"17076"
555479;"2";"15841"
555480;"2";"15834"
555508;"2";"17363"
555527;"2";"17218"
555680;"2";"15793"
557929;"2";"15551"
558718;"2";"15422"
558719;"2";"15849"
559027;"2";"15601"
559028;"2";"15602"
559995;"2";"17609"
560256;"2";"15210"
